"sample_id","sample_path","event_type","event_count","candidate_id","changed_event_count","changed_ratio"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x131","872","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x90","643","0.737"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x116","872","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x101","18","0.021"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0xD8","822","0.943"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x2E4","870","0.998"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x191","370","0.424"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x127","0","0"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x371","207","0.237"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0xAA","55","0.063"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x108","565","0.648"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x131","877","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x90","654","0.746"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x116","877","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x101","23","0.026"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0xD8","840","0.958"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x2E4","875","0.998"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x191","394","0.449"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x127","0","0"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x371","213","0.243"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0xAA","49","0.056"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x108","590","0.673"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x131","803","0.993"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x90","641","0.792"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x116","804","0.994"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x101","33","0.041"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0xD8","767","0.948"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x2E4","801","0.99"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x191","259","0.32"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x127","0","0"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x371","104","0.129"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0xAA","22","0.027"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x108","339","0.419"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x131","807","0.999"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x90","645","0.798"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x116","808","1"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x101","30","0.037"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0xD8","775","0.959"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x2E4","806","0.998"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x191","259","0.321"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x127","0","0"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x371","117","0.145"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0xAA","21","0.026"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","brake_like","808","0x108","367","0.454"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x131","327","0.997"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x90","133","0.405"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x116","327","0.997"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x101","27","0.082"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0xD8","306","0.933"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x2E4","327","0.997"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x191","39","0.119"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x127","0","0"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x371","26","0.079"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0xAA","0","0"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","accel_like","328","0x108","8","0.024"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x131","322","0.994"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x90","126","0.389"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x116","321","0.991"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x101","27","0.083"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0xD8","299","0.923"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x2E4","322","0.994"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x191","41","0.127"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x127","0","0"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x371","17","0.052"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0xAA","0","0"
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","brake_like","324","0x108","6","0.019"
